Date,Clean Tweet
28/11/16 21:21,Opposition Helped PM Modi On Note Ban Issue  Demonitisation  heeralalias blogspot in 2016 11 opposi tion helped pm modi in note ban html  
28/11/16 21:19,Indians put their stamp of approval on  Demonitisation by completely rejecting  BharathBandh called by opposition   BharatAgainstCorruption
28/11/16 21:18,  madam   pls ask ur party man if it is the effect of  Demonitisation  
28/11/16 21:17, demonitisation    
28/11/16 21:17,Questioning on demonitisation definitely      are with corruption
28/11/16 21:16, cashchaos the truth is maharastra muncipal election hapned after  Demonitisation   shld judge the verdict of ppl 
28/11/16 21:16,DEMONITISATION CAN BE COMPLETED ONLY WHEN ALL over world  CASH TRANSACTIONS R LINKED TO biometric SAVINGS ACCOUNT FOR A CASHLESS GLOBE  N   
28/11/16 21:15,Not only does the common man have to bear the brunt of demonitisation by standing in queue  We also need to beat the traffic due to protests
28/11/16 21:15,We are the voters who elected the MP s  we  th voters th comn mn  are completely in support of the demonitisation   start work in parliament
28/11/16 21:14,  U never mentioned that even after a notice for undisclosed wealth more than 50cr  u don t support  Demonitisation
28/11/16 21:13,Retweeted                           Demonitisation         1                                            fb me 6d1D54wtC
28/11/16 21:09,What s this income tax amnesty scheme  Means black money holders can pay 44  tax there money is white  Why drama of Demonitisation than 
28/11/16 21:08,Your focus has shifted from Demonitisation Another piece  twitter com SalmanSoz stat us 803257426212483072  
28/11/16 21:08, 10th fail is leading bihar n asking question to  on  Demonitisation m nt sure whether he knows the spelling f it
28/11/16 21:07,    desperation during the time of  demonitisation   Hahaha
28/11/16 21:05, Modi  s  Demonitisation dose has forced  JNU junks to forget missing  NajeebAhmed    knows NA s where about  Interrogate him 
28/11/16 21:04,This decision is trash and time alone will prove that the  Country is heading for disaster  Demonitisation
28/11/16 21:03,Thank you  for being with people at the time of crisis you had to stand in queue  you made our life easier  Demonitisation  twitter com MotherDairyMil k status 803210988799410178  
28/11/16 21:02, ppl wnts to hv u installed but thy cnt find u plz be aggressive in market n educated shopkeepers n hawkers to ease  Demonitisation
28/11/16 21:01, Daily wage workers are struggling due to demonitisation   Me  They should manage  it s for the greater good     fb me 90FntgLaW
28/11/16 21:00,THERE IS NO DEMON IN DEMONITISATION
28/11/16 21:00, frm wher you collect dis tweets sir der r ppl in India who supports dmo tn too Nt a singl twit in suppt of demonitisation sir 
28/11/16 20:58, Demonitisation  Why should 125 crore People allow 200 odd MPs to hijack Development Agenda in the Parliament Future of Youth in danger Act
28/11/16 20:58,  Opposition leaders should first put their own house in order before picking holes in demonitisation    DividedAakrosh
28/11/16 20:57, concentrate on completing the mission demonitisation   Leave us the risk of answering to the opposition parties 
28/11/16 20:57,Just an example to prove common man is angry with  Modi    Demonitisation  twitter com abpnewstv stat us 803217062919225345  
28/11/16 20:57, Demonitisation jisko 500 or 1000 change karne se itni taklif he    unko toh Desh badal ne se bhi dikkat hogi na  
28/11/16 20:57,  Opposition has no agenda on demonitisation but to oppose Modi on filmsy grounds   DividedAakrosh
28/11/16 20:57, Demonitisation         1                                                                                                                     Demonitisation  803259013785731073
28/11/16 20:56, mobilephotography  adda  chatpatidate  demonitisation  crave    instagram com p BNW9tb4jlBaU gO FaQtxR0HVCj8XzXy6o1akwo0   
28/11/16 20:56, jst saw ur video about  Demonitisation during one of ur promotion events of  Befikre   i liked wot u said   Gd lck 4 movie
28/11/16 20:56, DeMonitisation I don t know about opposition parties  but pick pockets are affected by  cashcrunch
28/11/16 20:56,Amazing results in Maharashtra Local body elections  Where r the ppl questioned  Demonitisation  NM App feedbacks hiding now   MahaVoted4BJP  twitter com AmitShah statu s 803232807354920960  
28/11/16 20:56,Let s build a cashless economy    Educate people on cashless transactions around you      Demonitisation pic twitter com oHXmbnCAE4
28/11/16 20:56, govt must now open the doors to create jobs in each district by bank deposits thru demonitisation
